HAYA_ID|GESTOR|USUARIO
7230169|SUALQ|vhernandez
7230213|SUALQ|vhernandez
7230222|SUALQ|vhernandez
7230223|SUALQ|vhernandez
7230224|SUALQ|vhernandez
7230227|SUALQ|vhernandez
7230240|SUALQ|vhernandez
7230241|SUALQ|vhernandez
7230261|SUALQ|vhernandez
7230262|SUALQ|vhernandez
7230263|SUALQ|vhernandez
7230264|SUALQ|vhernandez
7230265|SUALQ|vhernandez
7230266|SUALQ|vhernandez
7230267|SUALQ|vhernandez
7230268|SUALQ|vhernandez
7230269|SUALQ|vhernandez
7230270|SUALQ|vhernandez
7230271|SUALQ|vhernandez
7230272|SUALQ|vhernandez
7230273|SUALQ|vhernandez
7230274|SUALQ|vhernandez
7230275|SUALQ|vhernandez
7230276|SUALQ|vhernandez
7230277|SUALQ|vhernandez
7230278|SUALQ|vhernandez
7230279|SUALQ|vhernandez
7230280|SUALQ|vhernandez
7230281|SUALQ|vhernandez
7230282|SUALQ|vhernandez
7230283|SUALQ|vhernandez
7230284|SUALQ|vhernandez
7230285|SUALQ|vhernandez
7230286|SUALQ|vhernandez
7230287|SUALQ|vhernandez
7230288|SUALQ|vhernandez
7230289|SUALQ|vhernandez
7230295|SUALQ|vhernandez
7230296|SUALQ|vhernandez
7230297|SUALQ|vhernandez
7230298|SUALQ|vhernandez
7230299|SUALQ|vhernandez
7230300|SUALQ|vhernandez
7230301|SUALQ|vhernandez
7230303|SUALQ|vhernandez
7230305|SUALQ|vhernandez
7230306|SUALQ|vhernandez
7230307|SUALQ|vhernandez
7230308|SUALQ|vhernandez
7230309|SUALQ|vhernandez
7230310|SUALQ|vhernandez
7230311|SUALQ|vhernandez
7230312|SUALQ|vhernandez
7230313|SUALQ|vhernandez
7230314|SUALQ|vhernandez
7230315|SUALQ|vhernandez
7230316|SUALQ|vhernandez
7230386|SUALQ|vhernandez
7230389|SUALQ|vhernandez
7230390|SUALQ|vhernandez
7230391|SUALQ|vhernandez
7230392|SUALQ|vhernandez
7230393|SUALQ|vhernandez
7230394|SUALQ|vhernandez
7230395|SUALQ|vhernandez
7230396|SUALQ|vhernandez
7230397|SUALQ|vhernandez
7230398|SUALQ|vhernandez
7230399|SUALQ|vhernandez
7230400|SUALQ|vhernandez
7230401|SUALQ|vhernandez
7230408|SUALQ|vhernandez
7230409|SUALQ|vhernandez
7230410|SUALQ|vhernandez
7230411|SUALQ|vhernandez
7230436|SUALQ|vhernandez
7230438|SUALQ|vhernandez
7230440|SUALQ|vhernandez
7230445|SUALQ|vhernandez
7230459|SUALQ|vhernandez
