HAYA_ID|GESTOR|USUARIO
7230151|GCOM|cguillamon
7230152|GCOM|sperezn
7233829|GCOM|jsevilla
7230153|GCOM|cguillamon
7230154|GCOM|cguillamon
7230155|GCOM|cguillamon
7230156|GCOM|bjulian
7230157|GCOM|mguillen
7230158|GCOM|dchoclan
7230159|GCOM|dchoclan
7230160|GCOM|dchoclan
7230161|GCOM|dchoclan
7230162|GCOM|jsimon
7283025|GCOM|asanchezpo
7230163|GCOM|dchoclan
7230164|GCOM|dchoclan
7230165|GCOM|dchoclan
7230166|GCOM|dchoclan
7230167|GCOM|dchoclan
7230168|GCOM|dchoclan
7230169|GCOM|dchoclan
7230170|GCOM|dchoclan
7230171|GCOM|sperezn
7230172|GCOM|sperezn
7230173|GCOM|sperezn
7230174|GCOM|mguillen
7230175|GCOM|dchoclan
7230176|GCOM|jsimon
7230177|GCOM|dchoclan
7230178|GCOM|dchoclan
7230179|GCOM|dchoclan
7230180|GCOM|dchoclan
7230181|GCOM|dchoclan
7230182|GCOM|dchoclan
7230183|GCOM|dchoclan
7230184|GCOM|dchoclan
7230185|GCOM|dchoclan
7230186|GCOM|dchoclan
7230187|GCOM|dchoclan
7230188|GCOM|jsimon
7230189|GCOM|jsimon
7230190|GCOM|jsimon
7230191|GCOM|dchoclan
7230192|GCOM|dchoclan
7230193|GCOM|dchoclan
7230194|GCOM|dchoclan
7230195|GCOM|dchoclan
7230196|GCOM|dchoclan
7230197|GCOM|dchoclan
7230198|GCOM|dchoclan
7230199|GCOM|dchoclan
7230200|GCOM|dchoclan
7230201|GCOM|dchoclan
7230202|GCOM|dchoclan
7230203|GCOM|dchoclan
7230204|GCOM|dchoclan
7230205|GCOM|dchoclan
7230206|GCOM|dchoclan
7230207|GCOM|dchoclan
7230208|GCOM|dchoclan
7230209|GCOM|dchoclan
7230210|GCOM|dchoclan
7230211|GCOM|dchoclan
7230212|GCOM|dchoclan
7230213|GCOM|ssaenz
7230214|GCOM|jcarrillo
7230215|GCOM|jcarrillo
7230216|GCOM|jcarrillo
7230217|GCOM|jcarrillo
7230218|GCOM|jcarrillo
7230219|GCOM|jcarrillo
7230220|GCOM|sguillen
7230221|GCOM|sguillen
7260793|GCOM|nlopez
7230222|GCOM|jsimon
7230223|GCOM|jsimon
7230225|GCOM|dchoclan
7230226|GCOM|dchoclan
7230228|GCOM|eblasco
7230229|GCOM|eblasco
7263579|GCOM|asanchezpo
7264847|GCOM|asegarra
7230230|GCOM|jsala
7230231|GCOM|cguillamon
7288640|GCOM|GESTCOM
7230232|GCOM|GESTCOM
7230233|GCOM|sguillen
7268455|GCOM|ggandoy
7230234|GCOM|cguillamon
7230235|GCOM|bjulian
7268480|GCOM|fpineiro
7230236|GCOM|jcanelles
7230237|GCOM|eblasco
7230238|GCOM|eblasco
7230239|GCOM|cguillamon
7230242|GCOM|jroca
7230243|GCOM|GESTCOM
7230244|GCOM|lpasano
7230245|GCOM|jcanelles
7230246|GCOM|dsalvador
7230247|GCOM|mdavi
7230248|GCOM|dchoclan
7230249|GCOM|jsevilla
