HAYA_ID|GESTOR|USUARIO
7230151|HAYAGBOINM|scampillo
7230152|HAYAGBOINM|scampillo
7233829|HAYAGBOINM|dlopezpintor
7230153|HAYAGBOINM|scampillo
7230154|HAYAGBOINM|scampillo
7230155|HAYAGBOINM|scampillo
7230156|HAYAGBOINM|dlopezpintor
7230157|HAYAGBOINM|scampillo
7230158|HAYAGBOINM|scampillo
7230159|HAYAGBOINM|scampillo
7230160|HAYAGBOINM|scampillo
7230161|HAYAGBOINM|scampillo
7230162|HAYAGBOINM|scampillo
7283025|HAYAGBOINM|irosado
7230163|HAYAGBOINM|scampillo
7230164|HAYAGBOINM|scampillo
7230165|HAYAGBOINM|scampillo
7230166|HAYAGBOINM|scampillo
7230167|HAYAGBOINM|scampillo
7230168|HAYAGBOINM|scampillo
7230169|HAYAGBOINM|scampillo
7230170|HAYAGBOINM|scampillo
7230171|HAYAGBOINM|scampillo
7230172|HAYAGBOINM|scampillo
7230173|HAYAGBOINM|scampillo
7230174|HAYAGBOINM|scampillo
7230175|HAYAGBOINM|scampillo
7230176|HAYAGBOINM|scampillo
7230177|HAYAGBOINM|scampillo
7230178|HAYAGBOINM|scampillo
7230179|HAYAGBOINM|scampillo
7230180|HAYAGBOINM|scampillo
7230181|HAYAGBOINM|scampillo
7230182|HAYAGBOINM|scampillo
7230183|HAYAGBOINM|scampillo
7230184|HAYAGBOINM|scampillo
7230185|HAYAGBOINM|scampillo
7230186|HAYAGBOINM|scampillo
7230187|HAYAGBOINM|scampillo
7230188|HAYAGBOINM|scampillo
7230189|HAYAGBOINM|scampillo
7230190|HAYAGBOINM|scampillo
7230191|HAYAGBOINM|scampillo
7230192|HAYAGBOINM|scampillo
7230193|HAYAGBOINM|scampillo
7230194|HAYAGBOINM|scampillo
7230195|HAYAGBOINM|scampillo
7230196|HAYAGBOINM|scampillo
7230197|HAYAGBOINM|scampillo
7230198|HAYAGBOINM|scampillo
7230199|HAYAGBOINM|scampillo
7230200|HAYAGBOINM|scampillo
7230201|HAYAGBOINM|scampillo
7230202|HAYAGBOINM|scampillo
7230203|HAYAGBOINM|scampillo
7230204|HAYAGBOINM|scampillo
7230205|HAYAGBOINM|scampillo
7230206|HAYAGBOINM|scampillo
7230207|HAYAGBOINM|scampillo
7230208|HAYAGBOINM|scampillo
7230209|HAYAGBOINM|scampillo
7230210|HAYAGBOINM|scampillo
7230211|HAYAGBOINM|scampillo
7230212|HAYAGBOINM|scampillo
7230213|HAYAGBOINM|scampillo
7230214|HAYAGBOINM|scampillo
7230215|HAYAGBOINM|scampillo
7230216|HAYAGBOINM|scampillo
7230217|HAYAGBOINM|scampillo
7230218|HAYAGBOINM|scampillo
7230219|HAYAGBOINM|scampillo
7230220|HAYAGBOINM|scampillo
7230221|HAYAGBOINM|scampillo
7260793|HAYAGBOINM|irosado
7230222|HAYAGBOINM|scampillo
7230223|HAYAGBOINM|scampillo
7230224|HAYAGBOINM|scampillo
7230225|HAYAGBOINM|scampillo
7230226|HAYAGBOINM|scampillo
7230227|HAYAGBOINM|scampillo
7230228|HAYAGBOINM|scampillo
7230229|HAYAGBOINM|scampillo
7263579|HAYAGBOINM|irosado
7264847|HAYAGBOINM|irosado
7230230|HAYAGBOINM|scampillo
7230231|HAYAGBOINM|scampillo
7288640|HAYAGBOINM|scampillo
7230232|HAYAGBOINM|scampillo
7230233|HAYAGBOINM|scampillo
7268455|HAYAGBOINM|dlopezpintor
7230234|HAYAGBOINM|scampillo
7230235|HAYAGBOINM|scampillo
7268480|HAYAGBOINM|irosado
7230236|HAYAGBOINM|irosado
7230237|HAYAGBOINM|scampillo
7230238|HAYAGBOINM|scampillo
7230239|HAYAGBOINM|irosado
7230240|HAYAGBOINM|scampillo
7230241|HAYAGBOINM|scampillo
7230242|HAYAGBOINM|dlopezpintor
7230243|HAYAGBOINM|dlopezpintor
7230244|HAYAGBOINM|dlopezpintor
7230245|HAYAGBOINM|irosado
7230246|HAYAGBOINM|scampillo
7230247|HAYAGBOINM|scampillo
7230248|HAYAGBOINM|scampillo
7230249|HAYAGBOINM|dlopezpintor
7230250|HAYAGBOINM|scampillo
7230251|HAYAGBOINM|scampillo
7230252|HAYAGBOINM|scampillo
7230253|HAYAGBOINM|irosado
7230254|HAYAGBOINM|irosado
7230255|HAYAGBOINM|irosado
7230256|HAYAGBOINM|irosado
7230257|HAYAGBOINM|scampillo
7269818|HAYAGBOINM|irosado
7230258|HAYAGBOINM|scampillo
7230259|HAYAGBOINM|scampillo
7230260|HAYAGBOINM|dlopezpintor
7230261|HAYAGBOINM|dlopezpintor
7230262|HAYAGBOINM|dlopezpintor
7230263|HAYAGBOINM|dlopezpintor
7230264|HAYAGBOINM|dlopezpintor
7230265|HAYAGBOINM|dlopezpintor
7230266|HAYAGBOINM|dlopezpintor
7230267|HAYAGBOINM|dlopezpintor
7230268|HAYAGBOINM|dlopezpintor
7230269|HAYAGBOINM|dlopezpintor
7230270|HAYAGBOINM|dlopezpintor
7230271|HAYAGBOINM|dlopezpintor
7230272|HAYAGBOINM|dlopezpintor
7230273|HAYAGBOINM|dlopezpintor
7230274|HAYAGBOINM|dlopezpintor
7230275|HAYAGBOINM|dlopezpintor
7230276|HAYAGBOINM|dlopezpintor
7230277|HAYAGBOINM|dlopezpintor
7230278|HAYAGBOINM|dlopezpintor
7230279|HAYAGBOINM|dlopezpintor
7230280|HAYAGBOINM|dlopezpintor
7230281|HAYAGBOINM|dlopezpintor
7230282|HAYAGBOINM|dlopezpintor
7230283|HAYAGBOINM|dlopezpintor
7230284|HAYAGBOINM|dlopezpintor
7230285|HAYAGBOINM|dlopezpintor
7230286|HAYAGBOINM|dlopezpintor
7230287|HAYAGBOINM|dlopezpintor
7230288|HAYAGBOINM|dlopezpintor
7230289|HAYAGBOINM|dlopezpintor
7230290|HAYAGBOINM|irosado
7230291|HAYAGBOINM|irosado
7230292|HAYAGBOINM|irosado
7230293|HAYAGBOINM|irosado
7230294|HAYAGBOINM|scampillo
7230295|HAYAGBOINM|irosado
7230296|HAYAGBOINM|irosado
7230297|HAYAGBOINM|irosado
7230298|HAYAGBOINM|irosado
7230299|HAYAGBOINM|irosado
7230300|HAYAGBOINM|irosado
7230301|HAYAGBOINM|irosado
7230302|HAYAGBOINM|irosado
7230303|HAYAGBOINM|irosado
7230304|HAYAGBOINM|irosado
7230305|HAYAGBOINM|irosado
7230306|HAYAGBOINM|irosado
7230307|HAYAGBOINM|irosado
7230308|HAYAGBOINM|irosado
7230309|HAYAGBOINM|irosado
7230310|HAYAGBOINM|irosado
7230311|HAYAGBOINM|irosado
7230312|HAYAGBOINM|irosado
7230313|HAYAGBOINM|irosado
7230314|HAYAGBOINM|irosado
7230315|HAYAGBOINM|irosado
7230316|HAYAGBOINM|scampillo
7230317|HAYAGBOINM|scampillo
7230318|HAYAGBOINM|scampillo
7230319|HAYAGBOINM|scampillo
7230320|HAYAGBOINM|scampillo
7230321|HAYAGBOINM|scampillo
7230322|HAYAGBOINM|scampillo
7230323|HAYAGBOINM|scampillo
7230324|HAYAGBOINM|scampillo
7230325|HAYAGBOINM|scampillo
7230326|HAYAGBOINM|scampillo
7230327|HAYAGBOINM|scampillo
7230328|HAYAGBOINM|scampillo
7230329|HAYAGBOINM|scampillo
7230330|HAYAGBOINM|scampillo
7288644|HAYAGBOINM|scampillo
7230331|HAYAGBOINM|scampillo
7230332|HAYAGBOINM|scampillo
7230333|HAYAGBOINM|scampillo
7230334|HAYAGBOINM|scampillo
7288645|HAYAGBOINM|scampillo
7230335|HAYAGBOINM|scampillo
7230336|HAYAGBOINM|scampillo
7230337|HAYAGBOINM|scampillo
7230338|HAYAGBOINM|scampillo
7230339|HAYAGBOINM|scampillo
7230340|HAYAGBOINM|scampillo
7230341|HAYAGBOINM|scampillo
7230342|HAYAGBOINM|scampillo
7230343|HAYAGBOINM|scampillo
7230344|HAYAGBOINM|scampillo
7230345|HAYAGBOINM|scampillo
7288646|HAYAGBOINM|scampillo
7230346|HAYAGBOINM|scampillo
7230347|HAYAGBOINM|scampillo
7230348|HAYAGBOINM|scampillo
